iter	Passed	Remaining
411	2765	3946
412	2768	3934
413	2770	3921
414	2772	3907
415	2779	3902
416	2782	3889
417	2783	3876
418	2785	3862
419	2787	3849
420	2792	3840
421	2795	3828
422	2797	3816
423	2799	3803
424	2801	3790
425	2808	3784
426	2811	3772
427	2814	3760
428	2815	3747
429	2818	3735
430	2821	3724
431	2834	3726
432	2835	3713
433	2837	3700
434	2839	3688
435	2846	3682
436	2849	3671
437	2852	3659
438	2856	3650
439	2861	3642
440	2863	3629
441	2865	3617
442	2869	3607
443	2871	3595
444	2879	3591
445	2881	3579
446	2894	3580
447	2896	3568
448	2898	3556
449	2900	3544
450	2903	3534
451	2913	3532
452	2916	3521
453	2918	3510
454	2927	3506
455	2933	3499
456	2935	3487
457	2941	3480
458	2943	3469
459	2945	3458
460	2948	3447
461	2950	3435
462	2957	3429
463	2959	3418
464	2964	3410
465	2966	3398
466	2975	3396
467	2978	3385
468	2980	3375
469	2987	3368
470	2991	3359
471	2993	3348
472	2995	3337
473	2997	3325
474	3003	3319
475	3005	3308
476	3008	3298
477	3010	3287
478	3019	3284
479	3023	3275
480	3026	3266
481	3031	3258
482	3034	3248
483	3037	3238
484	3040	3228
485	3041	3217
486	3048	3210
487	3050	3200
488	3052	3190
489	3054	3179
490	3056	3168
491	3059	3158
492	3064	3151
493	3066	3141
494	3068	3130
495	3070	3119
496	3071	3109
497	3078	3102
498	3080	3093
499	3082	3082
500	3084	3071
501	3085	3061
502	3087	3050
503	3092	3043
504	3094	3033
505	3097	3023
506	3099	3013
507	3101	3003
508	3102	2992
509	3107	2985
510	3110	2976
511	3112	2966
512	3114	2956
513	3116	2946
514	3119	2938
515	3122	2929
516	3124	2919
517	3127	2910
518	3129	2899
519	3130	2889
520	3132	2879
521	3139	2874
522	3141	2864
523	3142	2854
524	3144	2845
525	3146	2835
526	3147	2825
527	3153	2819
528	3155	2809
529	3158	2800
530	3160	2791
531	3163	2783
532	3165	2773
533	3167	2764
534	3169	2754
535	3171	2745
536	3172	2735
537	3174	2725
538	3179	2719
539	3181	2710
540	3183	2700
541	3185	2691
542	3188	2683
543	3196	2679
544	3197	2669
545	3199	2660
546	3201	2651
547	3203	2642
548	3205	2633
549	3210	2626
550	3212	2617
551	3215	2609
552	3217	2600
553	3219	2591
554	3220	2582
555	3225	2576
556	3227	2567
557	3229	2558
558	3234	2551
559	3235	2542
560	3239	2535
561	3242	2527
562	3244	2518
563	3246	2509
564	3247	2500
565	3249	2491
566	3251	2483
567	3257	2477
568	3259	2469
569	3262	2461
570	3264	2452
571	3266	2443
572	3270	2437
573	3273	2429
574	3275	2421
575	3277	2412
576	3279	2404
577	3281	2395
578	3282	2386
579	3290	2382
580	3292	2374
581	3293	2365
582	3295	2357
583	3297	2348
584	3303	2343
585	3306	2336
586	3308	2327
587	3310	2319
588	3312	2311
589	3320	2307
590	3323	2299
591	3325	2291
592	3327	2283
593	3332	2277
594	3335	2270
595	3337	2262
596	3339	2254
597	3342	2246
598	3347	2241
599	3352	2234
600	3354	2226
601	3356	2218
602	3358	2211
603	3364	2206
604	3367	2198
605	3369	2190
606	3372	2183
607	3379	2178
608	3385	2173
609	3387	2165
610	3390	2158
611	3394	2152
612	3397	2144
613	3400	2137
614	3402	2130
615	3410	2126
616	3413	2118
617	3415	2111
618	3418	2104
619	3426	2100
620	3429	2093
621	3431	2085
622	3442	2083
623	3444	2075
624	3447	2068
625	3449	2060
626	3452	2053
627	3458	2048
628	3460	2041
629	3463	2034
630	3466	2027
631	3471	2021
632	3479	2017
633	3482	2010
634	3491	2007
635	3495	2000
636	3497	1993
637	3504	1988
638	3510	1983
639	3515	1977
640	3522	1972
641	3525	1965
642	3527	1958
643	3532	1952
644	3555	1957
645	3560	1951
646	3579	1952
647	3590	1950
648	3594	1944
649	3608	1942
650	3617	1939
651	3619	1932
652	3622	1925
653	3633	1922
654	3635	1914
655	3637	1907
656	3639	1900
657	3642	1892
658	3649	1888
659	3651	1881
660	3653	1873
661	3655	1866
662	3666	1863
663	3668	1856
664	3671	1849
665	3677	1844
666	3679	1837
667	3682	1830
668	3684	1823
669	3694	1819
670	3696	1812
671	3698	1805
672	3702	1799
673	3704	1792
674	3711	1786
675	3713	1779
676	3715	1772
677	3718	1765
678	3725	1761
679	3727	1754
680	3733	1748
681	3735	1741
682	3741	1736
683	3744	1729
684	3746	1723
685	3749	1716
686	3755	1711
687	3760	1705
688	3766	1699
689	3772	1694
690	3777	1689
691	3780	1682
692	3782	1675
693	3790	1671
694	3792	1664
695	3794	1657
696	3795	1650
697	3797	1643
698	3801	1637
699	3804	1630
700	3806	1623
701	3808	1616
702	3810	1610
703	3812	1603
704	3823	1600
705	3825	1593
706	3827	1586
707	3829	1579
708	3835	1574
709	3838	1567
710	3840	1561
711	3842	1554
712	3844	1547
713	3855	1544
714	3858	1537
715	3859	1530
716	3864	1525
717	3867	1518
718	3870	1512
719	3873	1506
